relative_path,bytes,vertices,faces,watertight,body_count,extent_x_mm,extent_y_mm,extent_z_mm,load_error
DRUCKDATEIEN_SORTIERT/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/04_NUR_VORSCHAU_NICHT_DRUCKEN/MONTAGE_UNTER_V14_VORSCHAU.stl,360684,3434,7212,False,3,90.71991,155.199997,39.54884,
DRUCKDATEIEN_SORTIERT/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/04_NUR_VORSCHAU_NICHT_DRUCKEN/POWERBANK_100X76X16_PASSFORM_VORSCHAU.stl,220684,2192,4412,True,2,82.890663,155.199997,22.0,
DRUCKDATEIEN_SORTIERT/10_SCHIEBEBOX_POWERBANK_PORTS_V5/00_CLIP_PASSFORM_ZUERST/01_CLIP_LEICHT_9P26.stl,5184,53,102,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/10_SCHIEBEBOX_POWERBANK_PORTS_V5/00_CLIP_PASSFORM_ZUERST/02_CLIP_NOMINAL_9P34.stl,5184,53,102,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/10_SCHIEBEBOX_POWERBANK_PORTS_V5/00_CLIP_PASSFORM_ZUERST/03_CLIP_FEST_9P42.stl,5184,53,102,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/10_SCHIEBEBOX_POWERBANK_PORTS_V5/01_V14_SCHIEBEBOX_POWERBANK_100X76X16_PORTS_V5.stl,186784,1851,3734,True,1,82.890663,155.199997,22.0,
DRUCKDATEIEN_SORTIERT/10_SCHIEBEBOX_POWERBANK_PORTS_V5/02_SCHIEBEDECKEL_V5.stl,105884,1060,2116,True,1,82.890663,155.199997,8.8,
DRUCKDATEIEN_SORTIERT/10_SCHIEBEBOX_POWERBANK_PORTS_V5/03_SECHS_VERSENKTE_HEX_HALTECLIPS_NOMINAL_V5.stl,29684,308,592,True,6,43.5,29.279057,5.65,
DRUCKDATEIEN_SORTIERT/10_SCHIEBEBOX_POWERBANK_PORTS_V5/04_NUR_VORSCHAU_NICHT_DRUCKEN/MONTAGE_UNTER_V14_VORSCHAU.stl,338484,3212,6768,False,3,90.71991,155.199997,39.54884,
DRUCKDATEIEN_SORTIERT/10_SCHIEBEBOX_POWERBANK_PORTS_V5/04_NUR_VORSCHAU_NICHT_DRUCKEN/POWERBANK_PORTS_PASSFORM_VORSCHAU.stl,198484,1970,3968,True,2,82.890663,155.199997,22.0,
DRUCKDATEIEN_SORTIERT/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/00_CLIP_PASSFORM_ZUERST/01_CLIP_LEICHT_9P26.stl,5184,53,102,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/00_CLIP_PASSFORM_ZUERST/02_CLIP_NOMINAL_9P34.stl,5184,53,102,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/00_CLIP_PASSFORM_ZUERST/03_CLIP_FEST_9P42.stl,5184,53,102,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/01_V14_SCHIEBEBOX_75P8X155P2_POWERBANK_100X76X16_V6.stl,183684,1816,3672,True,1,75.800003,155.199997,22.0,
DRUCKDATEIEN_SORTIERT/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/02_SCHIEBEDECKEL_75P8X155P2_V6.stl,105884,1060,2116,True,1,75.800003,155.199997,8.8,
DRUCKDATEIEN_SORTIERT/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/03_SECHS_VERSENKTE_HEX_HALTECLIPS_NOMINAL_V6.stl,29684,308,592,True,6,43.5,29.279057,5.65,
DRUCKDATEIEN_SORTIERT/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/04_NUR_VORSCHAU_NICHT_DRUCKEN/MONTAGE_UNTER_V14_VORSCHAU.stl,335384,3177,6706,False,3,87.274578,155.199997,39.54884,
DRUCKDATEIEN_SORTIERT/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/04_NUR_VORSCHAU_NICHT_DRUCKEN/POWERBANK_PASSFORM_VORSCHAU.stl,195384,1935,3906,True,2,76.0,155.199997,22.0,
DRUCKDATEIEN_SORTIERT/12_V14_KLAPPSTANDFUSS_M3_V1/00_CLIP_PASSFORM_ZUERST/04_CLIP_PASSFORM_9P26_9P34_9P42.stl,15584,161,310,True,3,43.5,13.279057,6.15,
DRUCKDATEIEN_SORTIERT/12_V14_KLAPPSTANDFUSS_M3_V1/01_V14_HEX_STANDFUSS_BASIS.stl,70684,696,1412,True,1,34.899998,54.099998,10.2,
DRUCKDATEIEN_SORTIERT/12_V14_KLAPPSTANDFUSS_M3_V1/02_KLAPPBUEGEL_M3.stl,94484,942,1888,True,1,81.300003,68.800003,8.2,
DRUCKDATEIEN_SORTIERT/12_V14_KLAPPSTANDFUSS_M3_V1/03_VIER_HEX_HALTECLIPS_NOMINAL_9P34.stl,19284,200,384,True,4,29.5,29.279057,6.15,
DRUCKDATEIEN_SORTIERT/12_V14_KLAPPSTANDFUSS_M3_V1/04_NUR_VORSCHAU_NICHT_DRUCKEN/01_STANDFUSS_EINGEKLAPPT.stl,165084,1638,3300,True,2,81.299999,68.799999,10.2,
DRUCKDATEIEN_SORTIERT/12_V14_KLAPPSTANDFUSS_M3_V1/04_NUR_VORSCHAU_NICHT_DRUCKEN/02_STANDFUSS_AUFGEKLAPPT_25GRAD.stl,165084,1638,3300,True,2,75.569447,68.799999,38.092819,
DRUCKDATEIEN_SORTIERT/12_V14_KLAPPSTANDFUSS_M3_V1/04_NUR_VORSCHAU_NICHT_DRUCKEN/03_MONTAGE_AN_V14_HANDYHAELFTE.stl,1163184,11463,23262,False,7,87.17458,155.199997,55.641659,
DRUCKDATEIEN_SORTIERT/12_V14_KLAPPSTANDFUSS_M3_V1/04_NUR_VORSCHAU_NICHT_DRUCKEN/04_CYBERDECK_MIT_STANDFUSS_AUF_TISCH.stl,1303184,12741,26062,False,8,146.029526,155.199997,90.15271,
DRUCKDATEIEN_SORTIERT/12_V6_CLIPS_EINRASTKRAGEN_PLUS1MM/01_CLIP_EINZELTEST_EINRASTKRAGEN_10P34_PLUS1MM.stl,5984,57,118,True,1,11.5,13.279057,5.65,
DRUCKDATEIEN_SORTIERT/12_V6_CLIPS_EINRASTKRAGEN_PLUS1MM/02_SECHS_CLIPS_EINRASTKRAGEN_10P34_PLUS1MM.stl,34284,330,684,True,6,43.5,29.279057,5.65,
DRUCKDATEIEN_SORTIERT/13_V14_ELEGANTER_RINGSTAND_M3_V2/00_CLIP_PASSFORM_ZUERST/04_CLIP_PASSFORM_9P26_9P34_9P42.stl,15584,161,310,True,3,43.5,13.279057,6.15,
DRUCKDATEIEN_SORTIERT/13_V14_ELEGANTER_RINGSTAND_M3_V2/00_CLIP_PASSFORM_ZUERST/05_EINZELCLIP_LEICHT_9P26.stl,5184,53,102,True,1,11.5,13.279057,6.15,
DRUCKDATEIEN_SORTIERT/13_V14_ELEGANTER_RINGSTAND_M3_V2/00_CLIP_PASSFORM_ZUERST/06_EINZELCLIP_NOMINAL_9P34.stl,5184,53,102,True,1,11.5,13.279057,6.15,
DRUCKDATEIEN_SORTIERT/13_V14_ELEGANTER_RINGSTAND_M3_V2/00_CLIP_PASSFORM_ZUERST/07_EINZELCLIP_FEST_9P42.stl,5184,53,102,True,1,11.5,13.279057,6.15,
DRUCKDATEIEN_SORTIERT/13_V14_ELEGANTER_RINGSTAND_M3_V2/01_V14_HEX_RINGSTAND_BASIS_60MM.stl,147784,1465,2954,True,1,60.0,60.0,12.639474,
DRUCKDATEIEN_SORTIERT/13_V14_ELEGANTER_RINGSTAND_M3_V2/02_ELEGANTER_KLAPPRING_M3.stl,115984,1157,2318,True,1,59.949997,52.0,7.7,
DRUCKDATEIEN_SORTIERT/13_V14_ELEGANTER_RINGSTAND_M3_V2/03_VIER_HEX_HALTECLIPS_NOMINAL_9P34.stl,19284,200,384,True,4,29.5,29.279057,6.15,
DRUCKDATEIEN_SORTIERT/13_V14_ELEGANTER_RINGSTAND_M3_V2/04_NUR_VORSCHAU_NICHT_DRUCKEN/01_RING_EINGEKLAPPT.stl,263684,2622,5272,True,2,59.999998,60.0,12.639474,
